id,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE
21,13-May-02,18,0,1,"$149,806 ",Yes,M,Bachelors,Professional,41,"$38,822 ",13,Minivan,"$23,372 ",0,8,1
22,21-Oct-98,22,2,11,"$84,561 ",Yes,F,Masters,Blue Collar,20,"$30,427 ",13,Pickup,"$24,981 ",0,6,10
23,22-Dec-02,18,0,7,"$78,205 ",No,M,Bachelors,Home Maker,14,"$37,941 ",14,Sports Car,"$1,960 ",3,6,2
24,26-Aug-93,27,0,4,"$65,422 ",Yes,M,Bachelors,Lawyer,23,"$14,162 ",13,Panel Truck,"$15,495 ",2,1,12
25,2-Dec-03,17,1,5,"$36,766 ",Yes,M,PhD,Blue Collar,14,"$34,354 ",6,Van,"$14,595 ",0,10,9
26,29-Jun-69,51,2,13,"$126,113 ",Yes,M,Bachelors,Manager,23,"$19,945 ",7,SUV,"$21,228 ",0,5,3
27,11-Apr-81,39,0,13,"$83,464 ",Yes,M,Masters,Professional,37,"$20,402 ",8,Pickup,"$7,134 ",2,9,15
28,18-May-80,40,0,8,"$37,004 ",No,M,Bachelors,Student,22,"$18,941 ",2,Minivan,"$26,603 ",0,4,13
29,2-Jun-91,29,0,3,"$79,591 ",No,F,PhD,Doctor,32,"$23,391 ",15,Van,"$8,716 ",0,10,10
30,5-Oct-71,49,0,6,"$79,504 ",Yes,M,Masters,Professional,37,"$36,403 ",15,Panel Truck,"$25,437 ",1,8,9
31,31-Oct-76,44,1,5,"$109,066 ",Yes,M,High School,Manager,20,"$16,804 ",1,Sports Car,"$13,495 ",1,1,5
32,8-Nov-99,21,0,12,"$93,508 ",No,M,Bachelors,Doctor,42,"$19,717 ",1,Panel Truck,"$21,751 ",0,10,0
33,31-Aug-74,46,2,5,"$118,592 ",Yes,M,Bachelors,Doctor,20,"$24,756 ",14,Panel Truck,"$16,387 ",0,6,7
34,3-Aug-00,20,3,1,"$130,803 ",No,F,PhD,Lawyer,16,"$28,121 ",2,SUV,"$19,635 ",1,3,11
35,10-Jul-83,37,0,9,"$128,767 ",Yes,M,High School,Home Maker,40,"$34,936 ",4,Van,"$9,678 ",2,10,11
36,12-Sep-95,25,3,8,"$139,841 ",Yes,M,Bachelors,Manager,19,"$24,153 ",6,Minivan,"$21,399 ",1,10,3
37,29-Nov-80,40,2,11,"$78,437 ",Yes,M,PhD,Clerical,42,"$22,794 ",3,Minivan,"$25,995 ",3,7,7
38,5-Sep-68,52,0,9,"$71,106 ",No,F,Bachelors,Clerical,39,"$35,841 ",15,Panel Truck,"$14,650 ",0,3,3
39,29-Nov-97,23,2,10,"$70,716 ",No,M,Masters,Home Maker,23,"$29,471 ",13,Van,"$20,886 ",0,3,12
40,16-Jul-80,40,3,4,"$95,363 ",Yes,M,PhD,Manager,40,"$31,270 ",13,SUV,"$17,154 ",0,9,0
41,20-Nov-03,17,4,8,"$56,355 ",Yes,M,PhD,Home Maker,27,"$25,248 ",12,Van,"$26,778 ",3,3,4
42,26-Nov-96,24,0,8,"$46,058 ",Yes,F,Masters,Home Maker,15,"$34,225 ",1,Sports Car,"$12,500 ",0,2,4
43,16-Mar-84,36,3,3,"$132,184 ",Yes,M,Bachelors,Doctor,24,"$20,354 ",11,Sports Car,"$23,806 ",0,3,10
44,28-Aug-89,31,3,10,"$142,073 ",No,M,Bachelors,Lawyer,14,"$38,684 ",11,Minivan,"$5,797 ",0,6,9
45,28-Apr-73,47,0,10,"$52,183 ",No,M,PhD,Professional,45,"$27,683 ",10,Panel Truck,"$18,236 ",0,5,4
46,12-Apr-03,17,3,6,"$58,601 ",No,F,High School,Professional,19,"$25,169 ",4,Van,"$18,564 ",3,2,4
47,2-Nov-91,29,3,3,"$43,604 ",Yes,M,High School,Blue Collar,32,"$33,495 ",4,Panel Truck,"$22,923 ",0,8,4
48,10-Jan-66,55,0,7,"$38,543 ",No,F,Masters,Clerical,44,"$34,763 ",13,Panel Truck,"$22,074 ",0,4,15
49,29-Sep-91,29,0,13,"$85,673 ",Yes,M,High School,Manager,43,"$17,150 ",2,Van,"$8,439 ",0,7,14
50,27-May-86,34,0,6,"$138,134 ",No,M,Masters,Home Maker,26,"$32,082 ",6,Van,"$10,160 ",2,7,13
51,1-Oct-79,41,0,8,"$47,720 ",No,F,Bachelors,Lawyer,32,"$24,085 ",2,SUV,"$3,074 ",0,9,14
52,11-Jun-88,32,0,7,"$78,170 ",No,F,High School,Blue Collar,42,"$33,866 ",5,SUV,"$25,586 ",0,6,2
53,21-Oct-72,48,2,1,"$50,453 ",Yes,F,Masters,Blue Collar,36,"$31,813 ",4,Sports Car,"$13,844 ",1,7,9
54,18-Oct-99,21,0,2,"$40,762 ",No,F,Bachelors,Student,28,"$24,243 ",2,Van,"$21,878 ",0,1,15
55,14-Jan-71,50,2,0,"$130,232 ",No,F,Masters,Manager,19,"$35,552 ",15,Panel Truck,"$4,521 ",1,5,5
56,1-Mar-96,24,3,11,"$120,084 ",No,M,High School,Doctor,40,"$31,535 ",13,SUV,"$11,418 ",3,0,12
57,27-Feb-94,26,4,3,"$114,550 ",Yes,F,Masters,Lawyer,42,"$39,317 ",7,Van,$960 ,0,0,14
58,20-May-84,36,0,5,"$82,838 ",Yes,M,Masters,Student,44,"$39,275 ",9,Pickup,"$9,749 ",0,5,2
59,18-May-67,53,1,2,"$66,978 ",Yes,F,High School,Lawyer,24,"$37,038 ",12,Sports Car,"$2,701 ",0,6,12
60,6-Jul-67,53,4,0,"$77,693 ",No,F,Bachelors,Student,14,"$23,763 ",2,Sports Car,"$26,885 ",0,2,7
61,17-Nov-78,42,2,5,"$86,820 ",No,F,Masters,Doctor,18,"$17,605 ",15,SUV,"$12,507 ",0,3,12
62,21-Mar-76,44,1,6,"$43,490 ",No,M,PhD,Manager,14,"$24,543 ",6,Pickup,"$10,678 ",0,9,6
63,6-Jul-69,51,1,6,"$90,415 ",No,F,High School,Doctor,44,"$28,180 ",3,Panel Truck,"$23,815 ",3,2,4
64,30-Sep-82,38,0,5,"$117,115 ",Yes,F,Masters,Manager,21,"$20,193 ",10,Panel Truck,"$15,833 ",1,6,10
65,28-Oct-03,17,0,1,"$67,007 ",No,M,High School,Manager,16,"$29,222 ",7,Panel Truck,"$24,925 ",0,8,1
66,14-Feb-72,48,2,7,"$119,711 ",No,F,High School,Blue Collar,35,"$15,375 ",8,Pickup,"$14,706 ",0,2,2
67,17-Jul-79,41,0,5,"$32,930 ",No,F,Bachelors,Manager,33,"$31,828 ",9,Van,"$18,421 ",3,4,0
68,29-Sep-00,20,0,12,"$118,510 ",No,M,PhD,Lawyer,22,"$29,736 ",2,SUV,"$26,307 ",0,3,4
69,31-Dec-95,25,3,3,"$65,717 ",No,F,High School,Manager,41,"$15,677 ",14,Van,"$21,917 ",0,3,10
70,8-Jan-90,31,1,13,"$95,517 ",Yes,M,PhD,Manager,41,"$22,311 ",11,Sports Car,"$7,857 ",0,4,13
71,2-Oct-82,38,2,12,"$75,607 ",No,M,Masters,Blue Collar,27,"$35,674 ",6,Sports Car,"$23,552 ",0,0,11
72,1-Apr-00,20,0,2,"$64,661 ",No,F,PhD,Manager,31,"$36,813 ",12,Van,"$17,991 ",0,0,14
73,29-May-92,28,3,8,"$59,806 ",No,F,High School,Home Maker,11,"$21,374 ",1,Panel Truck,"$26,872 ",3,4,1
74,22-Sep-85,35,1,13,"$148,535 ",Yes,F,PhD,Professional,35,"$37,059 ",12,Pickup,"$24,524 ",1,1,9
75,24-Sep-81,39,1,3,"$96,954 ",No,M,Bachelors,Lawyer,44,"$20,108 ",11,SUV,"$26,105 ",0,0,9
76,25-Sep-89,31,4,6,"$91,909 ",Yes,M,Bachelors,Blue Collar,15,"$20,108 ",3,Van,"$1,616 ",0,2,1
77,6-Feb-92,29,0,13,"$66,516 ",No,M,Masters,Student,34,"$34,580 ",4,SUV,"$1,791 ",0,9,5
78,8-Aug-82,38,0,5,"$101,225 ",No,M,Masters,Clerical,42,"$21,968 ",2,Minivan,"$22,899 ",3,5,11
79,16-Apr-75,45,2,7,"$76,737 ",No,F,PhD,Blue Collar,39,"$25,655 ",3,SUV,"$17,854 ",0,3,13
80,11-May-83,37,3,13,"$112,817 ",No,M,PhD,Blue Collar,12,"$20,767 ",15,Minivan,"$12,265 ",0,3,7
81,2-Sep-92,28,2,13,"$108,004 ",Yes,M,High School,Blue Collar,18,"$27,496 ",15,Minivan,"$18,568 ",0,3,4
82,16-Jun-99,21,4,10,"$99,283 ",No,M,Bachelors,Student,38,"$23,102 ",2,Van,"$12,243 ",0,1,10
83,1-Nov-81,39,0,9,"$97,451 ",No,F,Bachelors,Professional,41,"$35,283 ",2,Panel Truck,"$12,879 ",2,4,14
84,19-Jul-89,31,4,6,"$52,508 ",No,F,High School,Blue Collar,45,"$36,387 ",6,SUV,"$16,704 ",1,4,1
85,28-Sep-89,31,2,2,"$121,577 ",Yes,F,Bachelors,Professional,24,"$27,691 ",13,Van,"$20,397 ",0,3,11
86,20-May-76,44,0,1,"$47,293 ",No,M,Bachelors,Lawyer,30,"$17,802 ",10,SUV,"$23,029 ",0,9,13
87,18-Oct-93,27,0,8,"$142,828 ",Yes,M,Masters,Professional,32,"$30,190 ",10,Pickup,"$24,302 ",1,4,10
88,3-Dec-97,23,2,3,"$137,135 ",No,F,PhD,Lawyer,25,"$21,416 ",3,Minivan,"$3,365 ",0,9,5
89,25-Nov-86,34,0,4,"$138,459 ",No,M,High School,Student,23,"$30,343 ",10,Minivan,"$9,316 ",0,0,5
90,6-Jan-98,23,2,8,"$109,384 ",Yes,M,High School,Doctor,45,"$24,262 ",7,Panel Truck,"$7,498 ",0,8,14
91,8-Aug-70,50,4,1,"$136,058 ",No,F,Masters,Home Maker,25,"$38,685 ",8,Panel Truck,"$16,982 ",0,7,1
92,24-Jun-84,36,3,6,"$120,259 ",Yes,F,Masters,Student,12,"$17,810 ",2,Sports Car,"$11,722 ",0,5,8
93,8-Nov-74,46,1,8,"$122,863 ",Yes,M,High School,Clerical,11,"$33,447 ",8,Panel Truck,"$20,549 ",3,5,11
94,30-Apr-86,34,0,10,"$130,975 ",No,M,High School,Blue Collar,36,"$33,444 ",12,Minivan,"$19,917 ",1,1,6
95,22-Mar-95,25,0,1,"$80,221 ",No,F,Masters,Lawyer,31,"$24,362 ",9,Panel Truck,"$3,809 ",3,3,14
96,6-Jun-98,22,2,4,"$102,036 ",Yes,M,Masters,Lawyer,27,"$29,802 ",8,Van,"$22,795 ",2,1,0
97,18-Jan-70,51,3,11,"$73,918 ",No,M,High School,Home Maker,32,"$24,605 ",3,Minivan,"$20,349 ",3,7,1
98,30-Nov-70,50,2,12,"$43,024 ",No,F,High School,Student,26,"$33,706 ",9,SUV,"$13,900 ",0,1,12
99,19-Feb-02,18,3,0,"$84,402 ",No,F,High School,Blue Collar,19,"$16,146 ",9,Panel Truck,"$9,485 ",0,5,4
100,30-Mar-97,23,1,4,"$48,656 ",Yes,M,High School,Blue Collar,44,"$35,886 ",7,SUV,"$9,606 ",3,3,10
101,23-Jun-98,22,3,8,"$91,679 ",No,M,PhD,Blue Collar,41,"$18,803 ",12,Sports Car,"$4,376 ",0,4,13
102,9-Oct-98,22,0,1,"$136,289 ",No,F,Bachelors,Home Maker,31,"$15,402 ",3,SUV,"$18,464 ",0,8,0
103,27-May-85,35,0,2,"$43,097 ",No,M,PhD,Clerical,36,"$28,326 ",10,Van,"$15,517 ",0,5,8
104,21-Apr-90,30,0,1,"$102,935 ",No,M,PhD,Blue Collar,12,"$31,738 ",15,SUV,$711 ,0,1,4
105,10-Dec-98,22,0,12,"$56,984 ",Yes,F,High School,Blue Collar,15,"$22,075 ",6,Panel Truck,"$7,140 ",1,3,12
106,15-Feb-91,29,1,7,"$95,000 ",No,M,Bachelors,Professional,10,"$20,611 ",5,Pickup,"$18,285 ",2,10,1
107,10-Oct-71,49,0,10,"$122,423 ",Yes,F,High School,Student,33,"$16,086 ",9,Pickup,"$5,652 ",0,4,15
108,4-Jun-87,33,3,7,"$86,802 ",No,F,Masters,Professional,15,"$22,651 ",15,Minivan,"$19,346 ",0,2,13
109,4-Nov-83,37,1,5,"$94,304 ",No,F,High School,Lawyer,30,"$39,863 ",6,Pickup,"$13,863 ",0,2,0
110,23-Apr-86,34,1,7,"$115,161 ",Yes,F,Bachelors,Blue Collar,11,"$39,171 ",10,Sports Car,"$7,394 ",0,3,7
111,7-Jan-66,55,0,12,"$110,642 ",No,M,Bachelors,Blue Collar,15,"$29,569 ",13,Minivan,"$7,803 ",1,2,6
112,20-Jul-88,32,4,4,"$146,648 ",Yes,F,PhD,Lawyer,45,"$26,791 ",14,Van,"$7,687 ",0,6,10
113,20-Sep-95,25,2,8,"$144,319 ",No,M,High School,Student,11,"$36,632 ",2,Sports Car,"$19,858 ",1,7,5
114,11-Aug-74,46,4,3,"$56,733 ",No,M,PhD,Professional,30,"$33,571 ",3,Van,"$18,654 ",0,4,0
115,18-Aug-69,51,4,3,"$65,730 ",No,F,Masters,Blue Collar,35,"$24,378 ",9,Van,"$8,785 ",1,10,3
116,18-Sep-87,33,2,0,"$64,024 ",Yes,M,Bachelors,Home Maker,32,"$25,312 ",9,Panel Truck,"$20,570 ",0,7,12
117,11-Mar-73,47,0,2,"$119,810 ",Yes,F,Bachelors,Clerical,20,"$37,877 ",13,Van,"$3,262 ",0,6,0
118,1-Jul-67,53,2,10,"$124,135 ",No,M,High School,Clerical,20,"$16,684 ",9,SUV,$727 ,0,5,15
119,13-Jan-90,31,1,10,"$146,274 ",Yes,F,Masters,Doctor,11,"$14,446 ",5,Panel Truck,"$25,168 ",0,7,12
120,30-Jan-99,22,0,6,"$79,472 ",No,F,Masters,Home Maker,41,"$35,364 ",2,Sports Car,"$21,009 ",1,0,3
121,13-Oct-78,42,3,4,"$30,072 ",No,F,Bachelors,Lawyer,25,"$33,069 ",10,Sports Car,$632 ,2,5,6
122,16-Sep-80,40,2,7,"$133,935 ",No,M,PhD,Professional,10,"$22,413 ",14,Minivan,"$10,103 ",0,0,3
123,2-Jun-87,33,2,5,"$46,436 ",Yes,F,Masters,Student,43,"$28,131 ",2,Van,"$16,333 ",3,9,9
124,24-Jul-68,52,0,1,"$109,764 ",Yes,F,High School,Home Maker,23,"$24,741 ",11,Van,"$17,414 ",0,3,8
125,26-May-80,40,0,6,"$75,663 ",No,F,High School,Home Maker,29,"$38,132 ",9,SUV,"$1,663 ",0,0,9
126,23-Mar-93,27,4,9,"$134,960 ",No,F,Bachelors,Blue Collar,25,"$31,009 ",11,Van,"$24,000 ",0,8,14
127,1-Dec-03,17,0,5,"$95,837 ",Yes,F,Masters,Professional,34,"$36,167 ",7,Van,"$6,581 ",0,6,7
128,6-Aug-97,23,4,9,"$40,952 ",No,F,Masters,Clerical,43,"$29,735 ",15,SUV,"$2,802 ",1,8,3
129,30-Mar-02,18,1,0,"$93,526 ",Yes,M,Bachelors,Lawyer,36,"$30,699 ",9,Minivan,"$10,200 ",1,5,13
130,2-Sep-90,30,2,11,"$90,202 ",Yes,M,High School,Clerical,25,"$30,057 ",8,Minivan,"$11,771 ",2,1,14
131,5-Jan-86,35,0,0,"$127,638 ",No,M,PhD,Clerical,27,"$30,639 ",7,SUV,$312 ,3,5,14
132,1-Jul-76,44,4,13,"$139,817 ",No,M,High School,Manager,40,"$14,570 ",11,Panel Truck,"$7,955 ",0,1,3
133,19-Sep-82,38,2,1,"$115,253 ",Yes,F,PhD,Clerical,21,"$23,166 ",3,Pickup,"$5,928 ",1,3,3
134,7-Apr-76,44,2,10,"$128,686 ",Yes,F,High School,Blue Collar,39,"$31,944 ",14,SUV,"$9,195 ",0,5,3
135,21-Aug-66,54,0,8,"$146,858 ",No,F,Bachelors,Doctor,11,"$25,650 ",9,Minivan,"$15,573 ",1,0,8
136,21-Dec-89,31,3,7,"$30,605 ",Yes,F,High School,Professional,11,"$35,058 ",15,Sports Car,"$24,128 ",0,3,5
137,10-Sep-65,55,4,0,"$74,659 ",No,M,High School,Home Maker,30,"$14,471 ",13,SUV,"$17,808 ",0,6,9
138,15-Oct-89,31,4,10,"$77,437 ",No,F,Bachelors,Lawyer,13,"$26,819 ",5,Sports Car,$922 ,0,9,11
139,29-Oct-01,19,1,2,"$42,183 ",Yes,M,Masters,Lawyer,14,"$33,480 ",5,Sports Car,"$22,553 ",2,6,10
140,13-Nov-80,40,3,3,"$124,401 ",Yes,M,High School,Manager,40,"$34,946 ",11,Minivan,"$24,883 ",0,9,14
141,23-Nov-66,54,1,0,"$122,390 ",No,M,High School,Lawyer,45,"$26,852 ",13,Sports Car,"$1,865 ",0,1,13
142,21-May-66,54,0,11,"$136,851 ",No,M,Bachelors,Student,31,"$38,890 ",7,SUV,"$18,310 ",0,8,14
143,15-Jun-79,41,3,8,"$51,291 ",No,M,High School,Student,28,"$19,357 ",3,Panel Truck,"$7,631 ",1,4,12
144,10-Oct-03,17,3,7,"$113,320 ",No,F,High School,Lawyer,18,"$14,035 ",14,Pickup,"$25,668 ",1,8,14
145,25-Nov-83,37,0,2,"$140,271 ",Yes,F,PhD,Blue Collar,27,"$31,965 ",12,Van,"$23,590 ",3,4,5
146,28-Mar-85,35,3,9,"$72,153 ",Yes,M,High School,Manager,15,"$27,085 ",1,Sports Car,"$25,102 ",0,7,13
147,13-Feb-66,55,0,2,"$94,433 ",No,F,PhD,Home Maker,35,"$29,788 ",12,Panel Truck,$508 ,0,0,0
148,18-Mar-88,32,0,4,"$41,752 ",No,F,High School,Student,40,"$37,468 ",3,SUV,"$5,072 ",0,10,3
149,3-Oct-74,46,0,11,"$72,364 ",Yes,F,High School,Blue Collar,30,"$31,432 ",5,Minivan,"$15,283 ",0,4,6
150,17-Jul-79,41,0,10,"$77,107 ",No,M,Bachelors,Lawyer,16,"$23,749 ",7,Pickup,"$9,671 ",0,5,0
151,5-Jun-73,47,1,0,"$92,264 ",No,M,High School,Home Maker,33,"$25,240 ",14,SUV,"$26,546 ",0,0,4
152,3-Dec-01,19,2,2,"$72,127 ",Yes,F,Masters,Doctor,12,"$28,735 ",11,Panel Truck,"$12,719 ",0,0,10
153,14-Sep-93,27,0,1,"$114,350 ",Yes,M,PhD,Doctor,23,"$16,745 ",8,SUV,"$21,442 ",0,4,5
154,23-Aug-91,29,0,9,"$88,939 ",No,M,High School,Blue Collar,38,"$38,503 ",15,Minivan,"$22,723 ",2,7,7
155,8-May-78,42,0,11,"$72,010 ",Yes,M,Masters,Doctor,32,"$31,237 ",15,Pickup,"$8,074 ",3,1,0
156,1-Apr-85,35,0,4,"$65,907 ",No,M,High School,Lawyer,16,"$23,790 ",8,Minivan,"$14,265 ",3,4,9
157,31-Aug-78,42,3,13,"$69,062 ",No,F,High School,Home Maker,21,"$29,492 ",9,SUV,"$1,754 ",3,3,0
158,20-Sep-01,19,0,8,"$82,387 ",No,M,PhD,Professional,21,"$22,645 ",15,Sports Car,"$15,762 ",0,5,12
159,11-Nov-72,48,2,8,"$51,729 ",Yes,F,Bachelors,Clerical,29,"$27,916 ",1,Minivan,"$8,140 ",0,1,11
160,3-Jan-72,49,4,10,"$61,181 ",No,M,High School,Blue Collar,45,"$35,375 ",2,Panel Truck,"$26,394 ",0,2,15
161,1-Feb-80,41,0,0,"$64,105 ",No,F,Bachelors,Lawyer,37,"$31,211 ",6,Pickup,"$17,158 ",1,0,5
162,22-Apr-68,52,4,0,"$78,732 ",Yes,M,High School,Lawyer,11,"$22,011 ",14,Pickup,"$18,184 ",3,9,9
163,26-Mar-90,30,2,3,"$57,187 ",Yes,M,PhD,Lawyer,18,"$24,976 ",4,SUV,"$8,748 ",2,2,9
164,29-Aug-72,48,2,2,"$138,245 ",Yes,M,High School,Clerical,12,"$32,041 ",11,Van,"$19,232 ",2,7,2
165,11-Apr-66,54,1,0,"$94,330 ",No,F,PhD,Home Maker,11,"$28,561 ",13,Panel Truck,"$6,435 ",3,7,12
166,26-Nov-86,34,0,12,"$55,070 ",No,F,PhD,Blue Collar,22,"$30,579 ",6,Sports Car,"$11,995 ",0,8,13
167,2-Aug-65,55,0,9,"$110,259 ",Yes,F,PhD,Blue Collar,17,"$27,109 ",1,Minivan,"$19,237 ",0,9,8
168,11-Feb-74,47,0,8,"$124,901 ",Yes,M,Bachelors,Home Maker,14,"$32,581 ",11,Minivan,"$22,504 ",1,0,14
169,22-Jun-80,40,4,12,"$36,498 ",No,F,High School,Professional,41,"$39,329 ",7,Pickup,"$23,891 ",2,8,14
170,25-Jan-84,37,1,1,"$135,230 ",Yes,M,PhD,Blue Collar,30,"$18,980 ",7,Sports Car,"$24,858 ",0,10,7
171,30-May-77,43,1,7,"$88,734 ",Yes,M,Masters,Doctor,45,"$25,711 ",3,Minivan,"$22,132 ",0,5,4
172,24-Nov-94,26,0,8,"$108,083 ",No,M,PhD,Manager,32,"$39,172 ",12,Panel Truck,"$17,700 ",0,7,14
173,14-Jul-81,39,0,10,"$114,309 ",Yes,M,High School,Home Maker,14,"$28,680 ",2,SUV,"$13,195 ",0,5,10
174,15-Mar-98,22,0,0,"$87,251 ",No,F,PhD,Manager,17,"$32,232 ",2,Sports Car,"$20,233 ",2,2,11
175,12-Oct-67,53,3,9,"$55,723 ",No,F,High School,Clerical,41,"$32,753 ",14,Pickup,"$20,146 ",0,5,2
176,7-Mar-87,33,2,1,"$59,131 ",No,M,Masters,Clerical,10,"$33,060 ",8,SUV,"$6,060 ",2,2,8
177,2-Oct-77,43,0,2,"$108,468 ",No,F,PhD,Professional,42,"$18,028 ",5,Sports Car,$596 ,3,7,11
178,26-Nov-01,19,0,9,"$61,820 ",No,F,Bachelors,Home Maker,33,"$37,807 ",4,Van,"$26,492 ",3,1,2
179,16-May-84,36,2,6,"$72,348 ",Yes,F,High School,Doctor,15,"$29,283 ",6,Van,"$5,621 ",0,5,12
180,22-Aug-82,38,3,13,"$143,550 ",No,F,Bachelors,Home Maker,27,"$30,600 ",11,Minivan,"$9,653 ",0,8,3
181,5-Mar-80,40,2,4,"$92,546 ",Yes,M,Masters,Home Maker,22,"$24,865 ",5,Van,"$25,695 ",0,2,5
182,22-Sep-80,40,0,13,"$72,352 ",Yes,F,Bachelors,Manager,39,"$28,153 ",10,Van,"$3,418 ",0,2,13
183,4-Jun-76,44,1,3,"$59,868 ",Yes,M,PhD,Clerical,29,"$19,191 ",9,Minivan,"$15,752 ",1,2,4
184,19-Feb-94,26,1,12,"$92,038 ",Yes,F,Bachelors,Home Maker,24,"$14,998 ",3,Van,"$24,167 ",1,3,14
185,1-May-73,47,0,13,"$81,604 ",Yes,M,High School,Blue Collar,23,"$22,517 ",5,Van,"$8,014 ",3,6,2
186,15-Apr-90,30,2,2,"$56,163 ",No,M,High School,Home Maker,18,"$15,158 ",5,Van,"$15,616 ",0,4,15
187,23-Sep-79,41,3,5,"$145,558 ",Yes,M,High School,Clerical,41,"$37,629 ",5,SUV,"$21,143 ",0,3,10
188,3-Dec-96,24,4,10,"$127,932 ",No,F,Masters,Manager,41,"$38,596 ",8,Minivan,"$22,796 ",0,2,0
189,1-Sep-70,50,0,13,"$81,662 ",Yes,M,Bachelors,Lawyer,12,"$21,208 ",8,Minivan,"$11,316 ",0,4,5
190,15-Aug-91,29,2,7,"$109,517 ",Yes,M,PhD,Student,26,"$34,554 ",11,SUV,"$1,560 ",2,2,13
191,11-Jul-81,39,4,4,"$107,150 ",Yes,M,High School,Lawyer,30,"$20,409 ",9,Van,"$8,795 ",0,2,12
192,29-Dec-70,50,0,13,"$110,732 ",No,F,PhD,Student,19,"$15,241 ",7,Minivan,"$7,318 ",0,6,10
193,24-Sep-96,24,4,3,"$86,975 ",No,F,PhD,Lawyer,32,"$21,679 ",6,SUV,"$15,537 ",1,10,4
194,17-Oct-92,28,3,0,"$149,315 ",No,M,High School,Blue Collar,10,"$37,334 ",7,SUV,"$8,368 ",3,10,5
195,19-Aug-84,36,4,2,"$94,315 ",Yes,M,Bachelors,Student,39,"$16,860 ",11,SUV,"$20,554 ",1,2,7
196,12-Apr-66,54,1,0,"$56,611 ",No,F,Bachelors,Manager,16,"$25,770 ",4,Sports Car,"$13,671 ",0,9,11
197,30-Apr-99,21,0,9,"$97,187 ",No,M,High School,Lawyer,12,"$27,668 ",13,Minivan,"$19,759 ",2,2,12
198,14-Aug-79,41,4,6,"$58,455 ",No,M,Bachelors,Lawyer,34,"$26,252 ",5,SUV,"$25,032 ",2,8,7
199,9-Jun-97,23,2,1,"$53,316 ",No,M,Masters,Clerical,23,"$18,306 ",9,Panel Truck,"$11,823 ",1,6,1
